1	0.001309	0.043208
2	0.004177	0.040258
3	0.001487	0.041342
4	0.004515	0.044896
5	0.010865	0.069105
6	0.001759	0.053671
7	0.002594	0.046613
8	0.00495	0.045492
9	0.007115	0.053634
10	0.003186	0.046923
11	0.002093	0.047043
12	0.005202	0.042955
13	0.004489	0.039754
14	0.003642	0.050224
15	0.00396	0.036183
16	0.000141	0.038844
17	0.000282	0.04398
18	0.000392	0.050467
19	0.005294	0.05871
20	0.004801	0.05
21	0.002699	0.044716
22	0.001879	0.038128
23	0.004656	0.045625
24	0.003842	0.050449
25	0.00269	0.053335
26	0.004793	0.04545
27	0.003286	0.047931
28	0.002338	0.036047
29	0.005817	0.035848
30	0.001993	0.036762
31	0.00238	0.039827
