Return,Risk
0.0093075423,0.0023252862
0.0093075423,0.0023252862
0.0093075423,0.0023252862
0.0093075423,0.0023252862
0.0093075423,0.0023252862
0.0093075423,0.0023252862
0.0093075423,0.0023252862
0.0092997169,0.0023250142
0.0093048756,0.0023245631
0.0093075423,0.0023252862
0.0093075423,0.0023252862
0.0093075423,0.0023252862
0.0093075423,0.0023252862
0.0093075423,0.0023252862
0.0093075423,0.0023252862
0.0090884967,0.0017919713
0.0089131341,0.0013862793
0.0089564026,0.0014338847
0.0086639587,0.0008999479
0.008596006,0.0008010249
0.0086416761,0.000896206
0.0085634929,0.0007959283
0.0085833761,0.0008163617
0.0086472457,0.0009102418
0.0087515173,0.0010436891
0.0085488033,0.000786691
0.0086104507,0.000863273
0.0085889291,0.0008485117
0.0086048693,0.0008677485
0.0085806249,0.0008431343
0.0085170154,0.000807062
0.0084674374,0.000777527
0.0084370974,0.0007602095
0.0083560479,0.0007058352
0.008297521,0.0006801472
0.0081912985,0.0006431441
0.0083238625,0.0007036698
0.0080403855,0.0005983039
0.007931299,0.0005657458
0.0079154564,0.0005614686
0.0076566543,0.0005008262
0.0075837448,0.0004813982
0.0071085754,0.0003896923
0.0070527964,0.0003839314
0.0069072481,0.0003655768
0.0066618585,0.0003370597
0.0061506399,0.0002885616
0.0056184452,0.0002488837
0.0046327169,0.0001958395
0.00377862,0.0001685851
0.0020716849,0.0001484262
